Article ID,Label,Pattern,Entity,Publish Date,Article URL,possible reason,,original text,,category,
2784,ORG,the Board of Environmental Protection,7/21/23 0:43,https://www.pressherald.com/2023/07/20/environmentalists-petition-state-to-adopt-stronger-clean-vehicle-standards/,,the board + environmental protection,,,,Name Ambiguity,
2784,ORG,The Department of Environmental Protection,7/21/23 0:43,https://www.pressherald.com/2023/07/20/environmentalists-petition-state-to-adopt-stronger-clean-vehicle-standards/,,the department (not specified) + environmental protection,,,,Name Ambiguity,Maine…
2784,ORG,the Sierra Club,,7/21/23 0:43,https://www.pressherald.com/2023/07/20/environmentalists-petition-state-to-adopt-stronger-clean-vehicle-standards/,Should Exist,,,,Should Exist,
2784,ORG,the Maine Public Health Association,7/21/23 0:43,https://www.pressherald.com/2023/07/20/environmentalists-petition-state-to-adopt-stronger-clean-vehicle-standards/,,"does not found exactly the same name, might be the public helth department of Maine medical association",,,,Name Ambiguity,
2784,ORG,the U.S. Environmental Protection Agency,7/21/23 0:43,https://www.pressherald.com/2023/07/20/environmentalists-petition-state-to-adopt-stronger-clean-vehicle-standards/,,Should Exist,,,,Should Exist,
3839,ORG,The Department of Finance,,7/19/23 16:42,https://www.thejournal.ie/electric-vehicles-cost-1-5b-to-exchequer-6122869-Jul2023/,should It be further clear as US… or state…?,,,,Name Ambiguity,
3839,ORG,‚Äôs Tax Strategy Group,,7/19/23 16:42,https://www.thejournal.ie/electric-vehicles-cost-1-5b-to-exchequer-6122869-Jul2023/,encoding,,,,Encoding Issue,
3839,ORG,the Civil Service,,7/19/23 16:42,https://www.thejournal.ie/electric-vehicles-cost-1-5b-to-exchequer-6122869-Jul2023/,should be further define,,"The Department of Finance published reports yesterday from the government’s Tax Strategy Group, comprising senior officials and political advisers from across the Civil Service. ",,Name Ambiguity,
3839,ORG,Climate Action and Tax,,7/19/23 16:42,https://www.thejournal.ie/electric-vehicles-cost-1-5b-to-exchequer-6122869-Jul2023/,wrong classification,,,,Wrong Classification,
3839,ORG,the Society of the Irish Motor Industry,7/19/23 16:42,https://www.thejournal.ie/electric-vehicles-cost-1-5b-to-exchequer-6122869-Jul2023/,,Should Exist,,,,Should Exist,
3839,ORG,the Department of Transport,,7/19/23 16:42,https://www.thejournal.ie/electric-vehicles-cost-1-5b-to-exchequer-6122869-Jul2023/,should be further define,,,,Name Ambiguity,
4855,ORG,The National Highway Traffic Safety Administration,7/28/23 20:28,https://www.bizpacreview.com/2023/07/28/americans-had-better-wake-up-biden-admin-fires-next-regulatory-salvo-in-its-push-for-evs-1381535/,,Should Exist,,,,Should Exist,
4855,ORG,the Department of Transportation,7/28/23 20:28,https://www.bizpacreview.com/2023/07/28/americans-had-better-wake-up-biden-admin-fires-next-regulatory-salvo-in-its-push-for-evs-1381535/,,Should Exist (U.S. Department of Transportation),,,,Should Exist,
4855,ORG,General Motors‚Äôs,,7/28/23 20:28,https://www.bizpacreview.com/2023/07/28/americans-had-better-wake-up-biden-admin-fires-next-regulatory-salvo-in-its-push-for-evs-1381535/,encoding,,,,Encoding Issue,
4855,ORG,the Institute for Energy Research,7/28/23 20:28,https://www.bizpacreview.com/2023/07/28/americans-had-better-wake-up-biden-admin-fires-next-regulatory-salvo-in-its-push-for-evs-1381535/,,Should Exist,,,,Should Exist,
4855,ORG,the Daily Caller News Foundation,7/28/23 20:28,https://www.bizpacreview.com/2023/07/28/americans-had-better-wake-up-biden-admin-fires-next-regulatory-salvo-in-its-push-for-evs-1381535/,,Should Exist,,,,Should Exist,
4855,ORG,the Environmental Protection Agency,7/28/23 20:28,https://www.bizpacreview.com/2023/07/28/americans-had-better-wake-up-biden-admin-fires-next-regulatory-salvo-in-its-push-for-evs-1381535/,,Should Exist,,,,Should Exist,
6649,ORG,the Center for Biological Diversity,8/6/23 14:01,https://www.clickondetroit.com/business/2023/08/06/the-epas-ambitious-plan-to-cut-auto-emissions-to-slow-climate-change-runs-into-skepticism/,,Should Exist,,,,Should Exist,
6649,ORG,the Union of Concerned Scientists,8/6/23 14:01,https://www.clickondetroit.com/business/2023/08/06/the-epas-ambitious-plan-to-cut-auto-emissions-to-slow-climate-change-runs-into-skepticism/,,"exist, but didn't find individual entry in wikidata",,,,Other,
6649,ORG,The Alliance for Automotive Innovation,8/6/23 14:01,https://www.clickondetroit.com/business/2023/08/06/the-epas-ambitious-plan-to-cut-auto-emissions-to-slow-climate-change-runs-into-skepticism/,,Should Exist,,,,Should Exist,
