label,pattern
ORG,25x’25 Alliance
ORG,A. Longo
ORG,Ad Hoc Tier 4 Light-Duty Small OEM Group
ORG,Ad Hoc Tier 4 Light-Duty Small Manufacturer Group
ORG,Aston Martin
ORG,Bugatti-Rimac
ORG,Czinger
ORG,Gordon-Murray Automotive
ORG,Koenigsegg
ORG,McLaren
ORG,Pagani
ORG,Advanced Energy United
PER,Alex Stavis
PER,Stavis
ORG,Alliance for Automotive Innovation
ORG,Alliance for Consumers
ORG,AFC
ORG,Alliance for Vehicle Efficiency
ORG,AVE
ORG,American Chemistry Council
ORG,American Chemistry Council Product Approval Protocol Task Group
ORG,PAPTG
ORG,Fuel Additives Task Group
ORG,FATG
ORG,American Coalition for Ethanol
ORG,ACE
ORG,American Council for an Energy-Efficient Economy
ORG,ACEEE
ORG,American Enterprise Institute
ORG,American Free Enterprise Chamber of Commerce
ORG,AmFree
ORG,Center for Legal Action
ORG,Energy Equipment and Infrastructure Alliance
ORG,EEIA
ORG,Golden Grain Energy
ORG,Golden Grain Energy
ORG,Lincolnway Energy
ORG,Lincolnway Energy
ORG,American Freedom and America First Policy Institute
ORG,Center for American Freedom
ORG,AFPI
ORG,American Fuel & Petrochemical Manufacturers
ORG,AFPM
ORG,American Highway Users Alliance
ORG,American Honda Motor
ORG,Honda
ORG,American Lung Association
ORG,American Petroleum Institute
ORG,Andrea Strzelec
ORG,Strzelec
ORG,Arconic Corporation
ORG,Arizona Department of Environmental Quality
ORG,Arizona Interfaith Power & Light
ORG,Arizona State Legislature
ORG,Aston Martin Lagonda
ORG,Aston Martin
ORG,"Attorney General's Office, State of California"
PER,B. Reid Detchon
PER,Detchon
PER,Becky Daggett
PER,Daggett
PER,Betsy Cooper and Aaron Barkhouse
PER,Cooper
PER,Barkhouse
PER,Billy Brooks
PER,Brooks
ORG,BlueGreen Alliance
ORG,BMW of North America
ORG,BMW
PER,BorgWarner
PER,BorgWarner
PER,Brian Kalina
PER,Kalina
PER,Brian Russo
PER,Russo
ORG,Business for Innovative Climate and Energy Policy Network
ORG,California Air Resources Board
ORG,CALSTART
ORG,Center for American Progress
ORG,Center for Biological Diversity
ORG,Ceres BICEP
ORG,Ceres Corporate Electric Vehicle Alliance
ORG,Charles Forsberg
ORG,Forsberg
PER,Charles Gordon
PER,Gordon
ORG,Chemours Company FC
ORG,Chemours
ORG,Chevron
ORG,Clean Fuels Alliance America
ORG,Clean Fuels Development Coalition
ORG,Coalition for Safe Autonomous Vehicles and Electrification
ORG,Colorado Department of Public Health and Environment
ORG,Colorado Department of Transportation
ORG,Colorado Energy Office
ORG,Competitive Enterprise Institute
ORG,Consumer Energy Alliance
ORG,Consumer Reports
ORG,Countymark
ORG,Cummins
ORG,Dana Incorporated
ORG,Dana
PER,Daniel Hellebuyck
PER,Hellebuyck
PER,Darius
PER,David B Manley III
PER,David Hallberg
PER,Hallberg
PER,David Pedersen
PER,Pedersen
ORG,Delek US Holdings
ORG,Delek
ORG,DENSO Corporation
ORG,DENSO
ORG,District of Columbia Department of Energy and Environment
PER,Donn Viviani
PER,Viviani
PER,Donna Jackson
PER,Jackson
PER,Doug Peterson
PER,Peterson
PER,Dylan Ondek
ORG,East Kansas Agri‐Energy
ORG,Edison Electric Institute
ORG,Elders Climate Action
ORG,Electric Drive Transportation Association
ORG,Electrification Coalition
PER,Elizabeth Boynton
PER,Boynton
ORG,Energy Innovation
ORG,Energy Marketers of America
ORG,Energy Strategy Coalition
ORG,Environmental Defense Fund
ORG,Environmental. and Public Health Organizations
ORG,Ethanol Producers
ORG,Exxon Mobil Corporation
ORG,ExxonMobil
ORG,Fermata Energy
ORG,Ferrari N.V. and Ferrari North America
ORG,Ferrari
ORG,Ford Motor Company
ORG,Ford
PER,Fred Reitman
ORG,Fuel Additives Task Group
ORG,Fuel Freedom Foundation
PER,Gabrielle Lawrence
PER,Lawrence
ORG,General Motors
ORG,GM
ORG,George White
ORG,White
PER,Glenn Passavant
PER,Passavant
ORG,Governing for Impact and Evergreen Action
ORG,Green Diesel Engineering
ORG,GreenLatinos
PER,Greg Dotson
PER,Dotson
ORG,GROWMARK
ORG,Growth Energy
ORG,HF Sinclair Corporat
ORG,Hyundai America Technical Center
ORG,Hyundai Motor America
ORG,Hyundai
ORG,Illinois Corn Growers Association
ORG,Illinois Farm Bureau
ORG,Ingevity Corporation
ORG,Institute for Energy Research
ORG,Institute for Policy Integrity at New York University School of
ORG,Interfaith Power & Light
ORG,International Council on Clean Transportation
ORG,"International Union, United Automobile, Aerospace and Agricultu"
PER,Jack Spencer
PER,Spencer
ORG,Jaguar Land Rover NA
ORG,Jaguar
ORG,Land Rover
PER,Jeremy Michalek
PER,Michalek
PER,Jim Hays
PER,Hays
ORG,Job Creators Network Foundation
PER,John Graham
PER,Graham
PER,John Noble
PER,Noble
PER,Jonathan Walker
PER,Walker
PER,Joshua Linn
PER,Linn
ORG,KALA Engineering Consultants
PER,Kari Ostlie
PER,Ostlie
ORG,Kate Whitefoot
ORG,Whitefoot
ORG,Kentucky Office of the Attorney General
ORG,Kevin Murphy
ORG,Murphy
ORG,Kia Corporation
ORG,Kia
ORG,Landmark Legal Foundation
ORG,Lillian Davey
ORG,Davey
ORG,Lisa Allee
ORG,Allee
ORG,Lucid Group
ORG,Lucid
ORG,Marathon Petroleum Corporation
ORG,Marie Gluesenkamp Perez
ORG,Mario Loyola
ORG,Loyola
ORG,Mary Sattler Peltola
ORG,Peltola
ORG,Maryland Department of the Environment
ORG,Matthew Bruchon
ORG,Bruchon
PER,Matthew DiPaulo
PER,DiPaulo
ORG,Mazda North American Operations
ORG,Mazda
ORG,McLaren
ORG,MCS Referral & Resources
ORG,MECA Clean Mobility
ORG,MECA
ORG,"MEMA, The Vehicle Suppliers Associated"
ORG,Motor & Equipment Manufacturers Association
ORG,MEMA
ORG,Mercedes-Benz AG
ORG,Mercedes-Benz
ORG,Mercedes
ORG,Metropolitan Washington Air Quality Committee
ORG,Michigan Corn Growers Association
ORG,Minnesota Biofuels Association
ORG,Minnesota Corn Growers Association
ORG,Minnesota Pollution Control Agency
ORG,Missouri Corn Growers Association
ORG,Missouri Farm Bureau
ORG,Mitsubishi Motors North America
ORG,Mitsubishi
ORG,National Association of Clean Air Agencies
ORG,National Association of Convenience Stores
ORG,National Association of Manufacturers
ORG,National Association of Mutual Insurance Companies
ORG,National Automobile Dealers Association
ORG,National Corn Growers Association
ORG,National Farmers Union
ORG,National Parks Conservation Association
ORG,National Propane Gas Association
ORG,National Rural Electric Cooperative Association
ORG,National Tribal Air Association
ORG,Natural Gas Vehicles for America
ORG,Nebraska Corn Board
ORG,Nebraska Corn Growers Association
ORG,Nebraska Farm Bureau Federation
ORG,Nissan North America
ORG,Nissan
ORG,North American Subaru
ORG,Subaru
ORG,North Dakota Farmers Union
ORG,Northeast States for Coordinated Air Use Management
ORG,Novozymes North America
ORG,Office of Wyoming Governor Mark Gordon
ORG,Oregon Department of Environmental Quality
ORG,Oryxe International
ORG,Our Children's Trust
ORG,Ozone Transport Commission
ORG,Pacific Legal Foundation
ORG,Paul Bonifas and Tim Considine
ORG,Pearson Fuels
ORG,Plains All American Pipeline
ORG,Plug In America
ORG,POET
ORG,POET
ORG,Porsche Cars North America
ORG,Porsche
ORG,Pueblo of Santa Ana
ORG,Reginald Modlin
ORG,Modlin
ORG,Renewable Fuels Association
ORG,Rivian Automotive
ORG,Rivian
ORG,"Roy Littlefield IV, Tire Industry Association"
ORG,RV Industry Association
PER,Sandra Thomas
PER,Thomas
ORG,Satya Consultores
ORG,Consultores
PER,Scott Wilson
PER,Wilson
PER,Shelley Moore Capito
PER,Capito
ORG,Sierra Club
ORG,South Coast Air Quality Management District
ORG,South Dakota Department of Agriculture and Natural Resources
ORG,Southern Environmental Law Center
ORG,Specialty Equipment Market Association
ORG,Stellantis
PER,Steven Bradbury
ORG,Strong Plug-in Hybrid Electric Vehicle
ORG,T. Becker Power Systems
ORG,TCW
ORG,Tesla
ORG,Texas Public Policy Foundation
ORG,The Aluminum Association
ORG,The Heritage Foundation
ORG,The Mobility House
ORG,Toyota Motor North America
ORG,Toyota
ORG,Transport Evolved
ORG,Transportation Consultancy
PER,Travis Fisher
PER,Fisher
ORG,U.S. Chamber of Commerce
ORG,U.S. Conference of Catholic Bishops
ORG,U.S. Department of Transportation of Idaho
ORG,U.S. Department of Transportation of Montana
ORG,U.S. Department of Transportation of North Dakota
ORG,U.S. Department of Transportation of South Dakota
ORG,U.S. Department of Transportation of Wyoming
ORG,United Steelworkers
ORG,Valero Energy Corporation
ORG,Volkswagen Group of America
ORG,Volkswagen
ORG,VW
ORG,Volvo Car Corporation
ORG,Volvo
ORG,Washington State Department of Ecology
ORG,Western Energy Alliance
ORG,Western States Air Resources Council
ORG,Winnebago Industries
ORG,Winnebago
ORG,Wisconsin Automobile and Truck Dealers Association
ORG,Wisconsin Department of Natural Resources
ORG,World Resources Institute
ORG,Zero Emission Transportation Association
PER,Deb Fischer
PER,Fischer
ORG,Twitter
